key_resp.keys,key_resp.corr,key_resp.rt,noclock_loop.thisRepN,noclock_loop.thisTrialN,noclock_loop.thisN,noclock_loop.thisIndex,noclock_loop.ran,pictures,answer,clock,segment,participant,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,noclock_loop2.thisRepN,noclock_loop2.thisTrialN,noclock_loop2.thisN,noclock_loop2.thisIndex,noclock_loop2.ran,item_a,item_b,noclock_condition.thisRepN,noclock_condition.thisTrialN,noclock_condition.thisN,noclock_condition.thisIndex,noclock_condition.ran,present,compare,present_segment.thisRepN,present_segment.thisTrialN,present_segment.thisN,present_segment.thisIndex,present_segment.ran,compare_segment.thisRepN,compare_segment.thisTrialN,compare_segment.thisN,compare_segment.thisIndex,compare_segment.ran,clock_conditions.thisRepN,clock_conditions.thisTrialN,clock_conditions.thisN,clock_conditions.thisIndex,clock_conditions.ran
0.0,1.0,1.665815,0.0,0.0,0.0,0.0,1.0,pillow_03s.jpg,0.0,clockno_up.jpg,1.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,2.1968,0.0,1.0,1.0,1.0,1.0,pillow_03s.jpg,1.0,clockno_default.jpg,1.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,,0.0,2.0,2.0,2.0,1.0,padlock_07s.jpg,0.0,clockno_default.jpg,1.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.82742,0.0,3.0,3.0,3.0,1.0,pillow_03s.jpg,1.0,clockno_default.jpg,1.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.66084,0.0,4.0,4.0,4.0,1.0,crab_16s.jpg,0.0,clockno_default.jpg,1.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.8362,0.0,5.0,5.0,5.0,1.0,exhaust_pipe_10s.jpg,0.0,clockno_default.jpg,1.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,1.161425,0.0,6.0,6.0,6.0,1.0,turkey_10s.jpg,0.0,clockno_up.jpg,2.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.746845,0.0,7.0,7.0,7.0,1.0,pomegranate_04s.jpg,0.0,clockno_default.jpg,2.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.64596,0.0,8.0,8.0,8.0,1.0,chocolate_01b.jpg,0.0,clockno_default.jpg,2.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.74187,0.0,9.0,9.0,9.0,1.0,paper_towel_03s.jpg,0.0,clockno_default.jpg,2.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,1.16978,0.0,10.0,10.0,10.0,1.0,keyhole_03s.jpg,0.0,clockno_default.jpg,2.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,1.417925,0.0,11.0,11.0,11.0,1.0,turkey_10s.jpg,1.0,clockno_default.jpg,2.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,1.00974,0.0,12.0,12.0,12.0,1.0,poinsettia_04s.jpg,0.0,clockno_up.jpg,3.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,1.52887,0.0,13.0,13.0,13.0,1.0,poinsettia_04s.jpg,1.0,clockno_default.jpg,3.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
