key_resp.keys,key_resp.corr,key_resp.rt,present_segment.thisRepN,present_segment.thisTrialN,present_segment.thisN,present_segment.thisIndex,present_segment.ran,pictures,answer,clock,segment,participant,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,compare_segment.thisRepN,compare_segment.thisTrialN,compare_segment.thisN,compare_segment.thisIndex,compare_segment.ran,item_a,item_b,clock_conditions.thisRepN,clock_conditions.thisTrialN,clock_conditions.thisN,clock_conditions.thisIndex,clock_conditions.ran,present,compare,noclock_present.thisRepN,noclock_present.thisTrialN,noclock_present.thisN,noclock_present.thisIndex,noclock_present.ran,noclock_compare.thisRepN,noclock_compare.thisTrialN,noclock_compare.thisN,noclock_compare.thisIndex,noclock_compare.ran,noclock_conditions.thisRepN,noclock_conditions.thisTrialN,noclock_conditions.thisN,noclock_conditions.thisIndex,noclock_conditions.ran
0.0,1.0,2.052545,0.0,0.0,0.0,0.0,1.0,throne_11s.jpg,0.0,clock_7_1.png,1.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,1.636515,0.0,1.0,1.0,1.0,1.0,swimming_pool_17s.jpg,0.0,clock_7_2.png,1.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,1.35728,0.0,2.0,2.0,2.0,1.0,blowfish_03s.jpg,0.0,clock_7_3.png,1.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,1.374005,0.0,3.0,3.0,3.0,1.0,throne_11s.jpg,1.0,clock_7_4.png,1.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.913615,0.0,4.0,4.0,4.0,1.0,basket_05s.jpg,0.0,clock_7_5.png,1.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.854645,0.0,5.0,5.0,5.0,1.0,rhubarb_03s.jpg,0.0,clock_7_6.png,1.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,0.97603,0.0,6.0,6.0,6.0,1.0,throne_11s.jpg,1.0,clock_7_7.png,1.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.939985,0.0,7.0,7.0,7.0,1.0,tupperware_09s.jpg,0.0,clock_5_1.png,2.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.829085,0.0,8.0,8.0,8.0,1.0,seagull_01b.jpg,0.0,clock_5_2.png,2.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,1.025135,0.0,9.0,9.0,9.0,1.0,kitten_07s.jpg,0.0,clock_5_3.png,2.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.74258,0.0,10.0,10.0,10.0,1.0,crate_05s.jpg,0.0,clock_5_4.png,2.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.89619,0.0,11.0,11.0,11.0,1.0,pocket_watch_16s.jpg,0.0,clock_5_5.png,2.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
