f_name,exclusion_criteria
../data/Exp 1/data/cleaned/sub-54_task-noclockWclock.csv,present_accuracy < 90%
../data/Exp 1/data/cleaned/sub-53_task-noclockWclock.csv,present_accuracy < 90%
../data/Exp 1/data/cleaned/sub-17_task-noclockWclock.csv,present_accuracy < 90%
../data/Exp 1/data/cleaned/sub-57_task-noclockWclock.csv,present_accuracy < 90%
../data/Exp 1/data/cleaned/sub-71_task-clockWnoclock.csv,present_accuracy < 90%
../data/Exp 1/data/cleaned/sub-56_task-clockWnoclock.csv,present_accuracy < 90%
../data/Exp 1/data/cleaned/sub-67_task-clockWnoclock.csv,present_accuracy < 90%
../data/Exp 1/data/cleaned/sub-30_task-noclockWclock.csv,present_accuracy < 90%
../data/Exp 1/data/cleaned/sub-22_task-clockWnoclock.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-123_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-83_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-61_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-74_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-130_task-background.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-84_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-99_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-131_task-background.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-98_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-46_task-background.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-4_task-background.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-7_task-background.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-15_task-background.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-68_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-62_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-88_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-128_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-80_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-95_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-50_task-background.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-70_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-127_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-93_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-55_task-background.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-134_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-56_task-background.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-66_task-background.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-33_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-8_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-34_task-background.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-96_task-background.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-0_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-20_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-63_task-background.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-32_task-background.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-9_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-43_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-28_task-background.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-60_task-background.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-6_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-29_task-background.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-114_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-25_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-41_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-54_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-49_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-116_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-104_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-23_task-2back.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-36_task-2back.csv,present_accuracy < 90%
